episode,reward,loss
0,12.0,0.0
1,18.0,0.0
2,31.0,0.0
3,29.0,0.5817998277729955
4,12.0,0.9037665774424871
5,45.0,0.45381641313433646
6,24.0,0.9042062982916832
7,18.0,1.1316236919826932
8,49.0,1.2974054393719654
9,45.0,1.6358985198868645
10,19.0,2.056098304296795
11,13.0,2.2853775941408596
12,19.0,2.947941412266932
13,20.0,3.4655932784080505
14,45.0,4.329272817571958
15,19.0,6.149944223855671
16,20.0,6.324107366800308
17,13.0,6.754744850672209
18,20.0,11.107220220565797
19,30.0,10.450718611478806
20,22.0,10.931269428946756
21,14.0,14.001046146665301
22,74.0,12.426442928410864
23,22.0,11.11497722972523
24,29.0,11.788182669672473
25,17.0,14.261703126570758
26,14.0,9.458877627338682
27,17.0,13.54395855174345
28,22.0,14.544704133814031
29,17.0,14.465340887798982
30,32.0,14.469288945198059
31,16.0,13.374175854027271
32,19.0,11.782536211766695
33,30.0,14.325205413500468
34,37.0,20.13349817572413
35,25.0,16.56146611213684
36,21.0,14.9376418477013
37,46.0,18.038720996483512
38,17.0,13.4215968987521
39,25.0,16.40747411727905
40,9.0,16.43185622162289
41,30.0,16.698438119888305
42,43.0,15.466747766317324
43,21.0,11.175864086264657
44,45.0,15.493226607640585
45,21.0,15.884426593780518
46,18.0,16.166433261500465
47,34.0,20.88709617362303
48,61.0,18.046067912070477
49,15.0,17.918013922373454
50,26.0,19.236192620717564
51,60.0,15.524650555849075
52,23.0,19.96008294561635
53,35.0,14.552245204789298
54,29.0,19.900658443056304
55,29.0,19.79729135694175
56,118.0,19.724569507574632
57,43.0,17.78867335652196
58,32.0,18.86479628831148
59,15.0,25.45893580118815
60,25.0,20.684844102859497
61,23.0,17.668019766392916
62,33.0,23.2603984746066
63,13.0,25.958047353304348
64,29.0,16.86505551995902
65,21.0,18.98314156986418
66,50.0,25.450181443691253
67,45.0,20.05242150624593
68,35.0,20.86822259085519
69,48.0,19.819512565930683
70,10.0,22.06043314933777
71,15.0,24.13857587178548
72,27.0,23.13613529558535
73,37.0,20.458285666800833
74,49.0,23.50024825699475
75,27.0,18.414831907660872
76,12.0,25.981287280718487
77,41.0,21.10559619926825
78,43.0,23.352934432584185
79,89.0,21.921479124701424
80,14.0,20.44699498585292
81,51.0,26.71087338877659
82,25.0,19.950320568084717
83,14.0,25.413442271096365
84,35.0,24.17629372051784
85,67.0,25.11708813816754
86,43.0,29.066342875014904
87,30.0,33.14026553630829
88,13.0,23.80479150552016
89,25.0,28.537087535858156
90,47.0,25.371487982729647
91,53.0,28.068375425518685
92,114.0,24.197254831330817
93,80.0,26.251672294735908
94,95.0,24.04890649318695
95,39.0,23.31333045470409
96,18.0,24.233815325631035
97,54.0,26.516922787383752
98,137.0,22.78967839000869
99,55.0,18.69714082371105
100,176.0,21.04465148868886
101,21.0,20.597303083964757
102,26.0,20.993381729492775
103,54.0,21.104306068685318
104,65.0,18.876154316388643
105,68.0,23.967071654165494
106,46.0,22.054979718249776
107,154.0,22.629595395806547
108,181.0,20.921152524526608
109,107.0,18.591591467367156
110,131.0,18.262413501739502
111,121.0,22.666764745042343
112,27.0,17.420093099276226
113,22.0,18.056143701076508
114,126.0,22.366571487888457
115,114.0,22.442208410355082
116,160.0,21.166598968952894
117,40.0,22.294463688135146
118,112.0,23.396720842591353
119,67.0,22.774161603913377
120,37.0,22.19582994241972
121,68.0,20.010550125556833
122,15.0,24.051707808176676
123,28.0,28.6744338955198
124,89.0,27.81560594848033
125,133.0,24.037180569835176
126,24.0,17.893832524617512
127,170.0,27.30438046805999
128,52.0,31.532043610627834
129,60.0,26.86478017171224
130,25.0,24.506333651542665
131,157.0,27.933188833248842
132,223.0,26.055935613777606
133,93.0,30.553102585577196
134,299.0,28.77737051746917
135,203.0,24.473977403687726
136,99.0,25.19809661007891
137,115.0,22.971589370395826
138,38.0,25.202642873713845
139,81.0,28.450543759781638
140,189.0,23.420455147349646
141,35.0,23.490363127844674
142,139.0,26.347545054319095
143,120.0,22.517195211847625
144,48.0,24.944484134515125
145,207.0,28.112419621955944
146,180.0,29.318017892042796
147,189.0,26.963243651011634
148,66.0,26.27729151465676
149,175.0,25.42425843511309
150,158.0,27.96680949307695
151,182.0,26.483658595399543
152,159.0,26.9446247546178
153,167.0,29.865836561796907
154,160.0,25.155257079005242
155,210.0,29.17800171942938
156,130.0,28.244046943004314
157,36.0,41.509233713150024
158,100.0,25.258346452713013
159,41.0,27.67723235851381
160,204.0,32.91742390744827
161,88.0,26.963433161377907
162,62.0,26.16754049255002
163,38.0,18.592315140523407
164,222.0,28.655175737432533
165,303.0,27.047023990366718
166,212.0,25.465827813688314
167,21.0,29.205700715382893
168,234.0,24.04140057421138
